Product,Year,Quarter,Value,ProcessedTimestamp,filename
Crude oil & NGLs,2001,3rd quarter,12922.38,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2001,4th quarter,13834.09,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2002,1st quarter,13091.31,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2002,2nd quarter,15936.11,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2002,3rd quarter,11743.78,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2002,4th quarter,11270.34,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2003,1st quarter,12247.22,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2003,2nd quarter,11393.84,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2003,3rd quarter,12883.1,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2003,4th quarter,12064.76,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2004,1st quarter,13357.12,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2004,2nd quarter,14064.01,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2004,3rd quarter,14445.68,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2004,4th quarter,13990.72,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2005,1st quarter,12468.67,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2005,2nd quarter,13896.03,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2005,3rd quarter,13655.79,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
